Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,47.570000,47.799999,46.169998,46.630001,44.922642,25380000
2018-01-03,47.529999,48.070000,47.439999,47.709999,45.963093,24165000
2018-01-04,47.990002,48.189999,47.720001,48.180000,46.415886,19815100
2018-01-05,48.419998,48.630001,48.279999,48.470001,46.695274,14496400
2018-01-08,48.299999,49.070000,47.939999,48.980000,47.186596,15075000
2018-01-09,49.250000,49.360001,48.919998,49.060001,47.447723,14153700
2018-01-10,48.860001,49.270000,48.580002,48.799999,47.196262,13476600
2018-01-11,48.869999,49.020000,48.439999,48.950001,47.341335,11687800
2018-01-12,49.180000,49.830002,49.060001,49.509998,47.882931,15978200
2018-01-16,49.849998,50.060001,49.439999,49.590000,47.960304,17152600
2018-01-17,49.910000,50.290001,49.849998,50.270000,48.617950,23183100
2018-01-18,50.189999,50.680000,50.099998,50.230000,48.579269,17119200
2018-01-19,50.500000,50.599998,50.270000,50.580002,48.917767,14011500
2018-01-22,50.430000,50.740002,50.270000,50.709999,49.043491,16840000
2018-01-23,50.750000,51.270000,50.570000,51.119999,49.440018,14141400
2018-01-24,51.360001,52.000000,51.209999,51.450001,49.759174,17205600
2018-01-25,51.540001,52.049999,51.540001,51.599998,49.904243,13904300
2018-01-26,51.860001,52.750000,51.759998,52.750000,51.016453,14909200
2018-01-29,52.669998,52.790001,51.880001,51.939999,50.233067,12234900
2018-01-30,51.740002,51.990002,50.750000,50.959999,49.285278,16863500
2018-01-31,50.860001,51.849998,50.860001,51.590000,49.894573,16806800
2018-02-01,51.360001,51.980000,51.259998,51.630001,49.933262,11674100
2018-02-02,51.250000,51.410000,50.040001,50.130001,48.482559,17562200
2018-02-05,50.040001,50.700001,48.060001,48.090000,46.509594,19725800
2018-02-06,47.330002,49.509998,46.810001,49.400002,47.776543,25921200
2018-02-07,49.200001,49.849998,48.820000,48.869999,47.263966,15138000
2018-02-08,49.090000,49.119999,46.810001,46.840000,45.300678,21255400
2018-02-09,47.580002,48.150002,45.919998,47.730000,46.161427,23191000
2018-02-12,48.220001,48.490002,47.720001,48.150002,46.567623,16261600
2018-02-13,48.009998,48.680000,47.770000,48.490002,46.896450,12633100
2018-02-14,48.189999,49.520000,48.139999,49.450001,47.824898,14271400
2018-02-15,49.700001,50.689999,49.430000,50.639999,48.975792,14132500
2018-02-16,50.549999,51.139999,50.490002,50.709999,49.043491,11098800
2018-02-20,50.200001,50.310001,49.660000,49.889999,48.250443,14144900
2018-02-21,49.869999,50.340000,49.430000,49.430000,47.805557,13050800
2018-02-22,49.590000,50.060001,49.410000,49.590000,47.960304,9513200
2018-02-23,49.790001,50.570000,49.619999,50.500000,48.840397,8866800
2018-02-26,50.590000,51.259998,50.500000,51.169998,49.488377,12956000
2018-02-27,51.070000,51.400002,50.540001,50.730000,49.062832,14339600
2018-02-28,51.060001,51.500000,50.669998,50.669998,49.004803,14947900
2018-03-01,50.959999,50.959999,49.419998,49.709999,48.076355,16539800
2018-03-02,49.330002,50.400002,49.160000,50.320000,48.666309,17291000
2018-03-05,49.900002,51.490002,49.849998,51.290001,49.604431,18771500
2018-03-06,51.560001,51.790001,51.220001,51.500000,49.807529,13907100
2018-03-07,51.060001,51.810001,51.029999,51.720001,50.020302,11727300
2018-03-08,51.939999,52.160000,51.470001,52.130001,50.416836,15864400
2018-03-09,52.349998,53.000000,52.200001,52.970001,51.229225,16218600
2018-03-12,52.980000,53.439999,52.669998,52.900002,51.161526,14108400
2018-03-13,53.240002,53.480000,52.340000,52.580002,50.852039,12864400
2018-03-14,52.880001,53.150002,52.180000,52.320000,50.600586,10885500
2018-03-15,52.220001,52.669998,52.110001,52.369999,50.648941,14155200
2018-03-16,52.400002,52.689999,52.250000,52.270000,50.552231,21011500
2018-03-19,52.430000,52.580002,51.509998,51.950001,50.242744,25777400
2018-03-20,46.799999,47.750000,46.430000,47.049999,45.503777,68601000
2018-03-21,47.290001,48.060001,47.009998,47.020000,45.474766,34597700
2018-03-22,46.720001,47.020000,45.730000,45.889999,44.381893,25610100
2018-03-23,45.980000,46.279999,44.759998,44.790001,43.318043,21398900
2018-03-26,45.549999,46.639999,45.389999,46.480000,44.952507,20754800
2018-03-27,46.630001,46.820000,45.000000,45.380001,43.888657,18925300
2018-03-28,45.279999,45.360001,44.509998,44.980000,43.501801,22156900
2018-03-29,45.310001,46.290001,45.009998,45.750000,44.246502,14256400
2018-04-02,45.650002,45.849998,44.419998,45.009998,43.530819,15343300
2018-04-03,45.330002,45.330002,44.290001,44.889999,43.414761,15734600
2018-04-04,44.070000,45.619999,44.040001,45.509998,44.014381,18505900
2018-04-05,45.730000,46.180000,45.549999,45.959999,44.449600,12313000
2018-04-06,45.509998,45.750000,44.599998,44.830002,43.356735,13893600
2018-04-09,45.110001,45.650002,44.880001,44.900002,43.424431,15200000
2018-04-10,45.549999,46.070000,45.459999,45.820000,44.314198,14868900
2018-04-11,45.400002,45.990002,45.360001,45.610001,44.111095,14911400
2018-04-12,45.689999,46.169998,45.650002,45.880001,44.372231,13970300
2018-04-13,46.310001,46.529999,45.610001,46.080002,44.565647,12493600
2018-04-16,46.029999,46.389999,45.599998,46.049999,44.721031,11639000
2018-04-17,46.410000,46.930000,46.389999,46.660000,45.313435,10762700
2018-04-18,46.680000,47.290001,46.680000,47.080002,45.721313,11312900
2018-04-19,46.990002,47.110001,46.700001,46.820000,45.468811,8563200
2018-04-20,46.470001,46.619999,45.980000,46.230000,44.895836,15675600
